10000 4655
102 1 1.000000000
103 1 1.000000000
104 2 1.000000000
105 2 1.000000000
106 3 1.000000000
107 3 1.000000000
108 4 1.000000000
109 4 1.000000000
110 5 1.000000000
111 5 1.000000000
112 6 1.000000000
113 6 1.000000000
114 7 1.000000000
115 7 1.000000000
116 8 1.000000000
117 8 1.000000000
118 9 1.000000000
119 9 1.000000000
120 10 1.000000000
121 10 1.000000000
122 11 1.000000000
123 11 1.000000000
124 12 1.000000000
125 12 1.000000000
126 13 1.000000000
127 13 1.000000000
128 14 1.000000000
129 14 1.000000000
130 15 1.000000000
131 15 1.000000000
132 16 1.000000000
133 16 1.000000000
134 17 1.000000000
135 17 1.000000000
136 18 1.000000000
137 18 1.000000000
138 19 1.000000000
139 19 1.000000000
140 20 1.000000000
141 20 1.000000000
142 21 1.000000000
143 21 1.000000000
144 22 1.000000000
145 22 1.000000000
146 23 1.000000000
147 23 1.000000000
148 24 1.000000000
149 24 1.000000000
150 25 1.000000000
151 25 1.000000000
152 26 1.000000000
153 26 1.000000000
154 27 1.000000000
155 27 1.000000000
156 28 1.000000000
157 28 1.000000000
158 29 1.000000000
159 29 1.000000000
160 30 1.000000000
161 30 1.000000000
162 31 1.000000000
163 31 1.000000000
164 32 1.000000000
165 32 1.000000000
166 33 1.000000000
167 33 1.000000000
168 34 1.000000000
169 34 1.000000000
170 35 1.000000000
171 35 1.000000000
172 36 1.000000000
173 36 1.000000000
174 37 1.000000000
175 37 1.000000000
176 38 1.000000000
177 38 1.000000000
178 39 1.000000000
179 39 1.000000000
180 40 1.000000000
181 40 1.000000000
182 41 1.000000000
183 41 1.000000000
184 42 1.000000000
185 42 1.000000000
186 43 1.000000000
187 43 1.000000000
188 44 1.000000000
189 44 1.000000000
190 45 1.000000000
191 45 1.000000000
192 46 1.000000000
193 46 1.000000000
194 47 1.000000000
195 47 1.000000000
196 48 1.000000000
197 48 1.000000000
198 49 1.000000000
199 49 1.000000000
202 1 1.000000000
202 50 1.000000000
203 1 1.000000000
203 50 1.000000000
204 2 1.000000000
204 51 1.000000000
205 2 1.000000000
205 51 1.000000000
206 3 1.000000000
206 52 1.000000000
207 3 1.000000000
207 52 1.000000000
208 4 1.000000000
208 53 1.000000000
209 4 1.000000000
209 53 1.000000000
210 5 1.000000000
210 54 1.000000000
211 5 1.000000000
211 54 1.000000000
212 6 1.000000000
212 55 1.000000000
213 6 1.000000000
213 55 1.000000000
214 7 1.000000000
214 56 1.000000000
215 7 1.000000000
215 56 1.000000000
216 8 1.000000000
216 57 1.000000000
217 8 1.000000000
217 57 1.000000000
218 9 1.000000000
218 58 1.000000000
219 9 1.000000000
219 58 1.000000000
220 10 1.000000000
220 59 1.000000000
221 10 1.000000000
221 59 1.000000000
222 11 1.000000000
222 60 1.000000000
223 11 1.000000000
223 60 1.000000000
224 12 1.000000000
224 61 1.000000000
225 12 1.000000000
225 61 1.000000000
226 13 1.000000000
226 62 1.000000000
227 13 1.000000000
227 62 1.000000000
228 14 1.000000000
228 63 1.000000000
229 14 1.000000000
229 63 1.000000000
230 15 1.000000000
230 64 1.000000000
231 15 1.000000000
231 64 1.000000000
232 16 1.000000000
232 65 1.000000000
233 16 1.000000000
233 65 1.000000000
234 17 1.000000000
234 66 1.000000000
235 17 1.000000000
235 66 1.000000000
236 18 1.000000000
236 67 1.000000000
237 18 1.000000000
237 67 1.000000000
238 19 1.000000000
238 68 1.000000000
239 19 1.000000000
239 68 1.000000000
240 20 1.000000000
240 69 1.000000000
241 20 1.000000000
241 69 1.000000000
242 21 1.000000000
242 70 1.000000000
243 21 1.000000000
243 70 1.000000000
244 22 1.000000000
244 71 1.000000000
245 22 1.000000000
245 71 1.000000000
246 23 1.000000000
246 72 1.000000000
247 23 1.000000000
247 72 1.000000000
248 24 1.000000000
248 73 1.000000000
249 24 1.000000000
249 73 1.000000000
250 25 1.000000000
250 74 1.000000000
251 25 1.000000000
251 74 1.000000000
252 26 1.000000000
252 75 1.000000000
253 26 1.000000000
253 75 1.000000000
254 27 1.000000000
254 76 1.000000000
255 27 1.000000000
255 76 1.000000000
256 28 1.000000000
256 77 1.000000000
257 28 1.000000000
257 77 1.000000000
258 29 1.000000000
258 78 1.000000000
259 29 1.000000000
259 78 1.000000000
260 30 1.000000000
260 79 1.000000000
261 30 1.000000000
261 79 1.000000000
262 31 1.000000000
262 80 1.000000000
263 31 1.000000000
263 80 1.000000000
264 32 1.000000000
264 81 1.000000000
265 32 1.000000000
265 81 1.000000000
266 33 1.000000000
266 82 1.000000000
267 33 1.000000000
267 82 1.000000000
268 34 1.000000000
268 83 1.000000000
269 34 1.000000000
269 83 1.000000000
270 35 1.000000000
270 84 1.000000000
271 35 1.000000000
271 84 1.000000000
272 36 1.000000000
272 85 1.000000000
273 36 1.000000000
273 85 1.000000000
274 37 1.000000000
274 86 1.000000000
275 37 1.000000000
275 86 1.000000000
276 38 1.000000000
276 87 1.000000000
277 38 1.000000000
277 87 1.000000000
278 39 1.000000000
278 88 1.000000000
279 39 1.000000000
279 88 1.000000000
280 40 1.000000000
280 89 1.000000000
281 40 1.000000000
281 89 1.000000000
282 41 1.000000000
282 90 1.000000000
283 41 1.000000000
283 90 1.000000000
284 42 1.000000000
284 91 1.000000000
285 42 1.000000000
285 91 1.000000000
286 43 1.000000000
286 92 1.000000000
287 43 1.000000000
287 92 1.000000000
288 44 1.000000000
288 93 1.000000000
289 44 1.000000000
289 93 1.000000000
290 45 1.000000000
290 94 1.000000000
291 45 1.000000000
291 94 1.000000000
292 46 1.000000000
292 95 1.000000000
293 46 1.000000000
293 95 1.000000000
294 47 1.000000000
294 96 1.000000000
295 47 1.000000000
295 96 1.000000000
296 48 1.000000000
296 97 1.000000000
297 48 1.000000000
297 97 1.000000000
298 49 1.000000000
298 98 1.000000000
299 49 1.000000000
299 98 1.000000000
302 50 1.000000000
302 99 1.000000000
303 50 1.000000000
303 99 1.000000000
304 51 1.000000000
304 100 1.000000000
305 51 1.000000000
305 100 1.000000000
306 52 1.000000000
306 101 1.000000000
307 52 1.000000000
307 101 1.000000000
308 53 1.000000000
308 102 1.000000000
309 53 1.000000000
309 102 1.000000000
310 54 1.000000000
310 103 1.000000000
311 54 1.000000000
311 103 1.000000000
312 55 1.000000000
312 104 1.000000000
313 55 1.000000000
313 104 1.000000000
314 56 1.000000000
314 105 1.000000000
315 56 1.000000000
315 105 1.000000000
316 57 1.000000000
316 106 1.000000000
317 57 1.000000000
317 106 1.000000000
318 58 1.000000000
318 107 1.000000000
319 58 1.000000000
319 107 1.000000000
320 59 1.000000000
320 108 1.000000000
321 59 1.000000000
321 108 1.000000000
322 60 1.000000000
322 109 1.000000000
323 60 1.000000000
323 109 1.000000000
324 61 1.000000000
324 110 1.000000000
325 61 1.000000000
325 110 1.000000000
326 62 1.000000000
326 111 1.000000000
327 62 1.000000000
327 111 1.000000000
328 63 1.000000000
328 112 1.000000000
329 63 1.000000000
329 112 1.000000000
330 64 1.000000000
330 113 1.000000000
331 64 1.000000000
331 113 1.000000000
332 65 1.000000000
332 114 1.000000000
333 65 1.000000000
333 114 1.000000000
334 66 1.000000000
334 115 1.000000000
335 66 1.000000000
335 115 1.000000000
336 67 1.000000000
336 116 1.000000000
337 67 1.000000000
337 116 1.000000000
338 68 1.000000000
338 117 1.000000000
339 68 1.000000000
339 117 1.000000000
340 69 1.000000000
340 118 1.000000000
341 69 1.000000000
341 118 1.000000000
342 70 1.000000000
342 119 1.000000000
343 70 1.000000000
343 119 1.000000000
344 71 1.000000000
344 120 1.000000000
345 71 1.000000000
345 120 1.000000000
346 72 1.000000000
346 121 1.000000000
347 72 1.000000000
347 121 1.000000000
348 73 1.000000000
348 122 1.000000000
349 73 1.000000000
349 122 1.000000000
350 74 1.000000000
350 123 1.000000000
351 74 1.000000000
351 123 1.000000000
352 75 1.000000000
352 124 1.000000000
353 75 1.000000000
353 124 1.000000000
354 76 1.000000000
354 125 1.000000000
355 76 1.000000000
355 125 1.000000000
356 77 1.000000000
356 126 1.000000000
357 77 1.000000000
357 126 1.000000000
358 78 1.000000000
358 127 1.000000000
359 78 1.000000000
359 127 1.000000000
360 79 1.000000000
360 128 1.000000000
361 79 1.000000000
361 128 1.000000000
362 80 1.000000000
362 129 1.000000000
363 80 1.000000000
363 129 1.000000000
364 81 1.000000000
364 130 1.000000000
365 81 1.000000000
365 130 1.000000000
366 82 1.000000000
366 131 1.000000000
367 82 1.000000000
367 131 1.000000000
368 83 1.000000000
368 132 1.000000000
369 83 1.000000000
369 132 1.000000000
370 84 1.000000000
370 133 1.000000000
371 84 1.000000000
371 133 1.000000000
372 85 1.000000000
372 134 1.000000000
373 85 1.000000000
373 134 1.000000000
374 86 1.000000000
374 135 1.000000000
375 86 1.000000000
375 135 1.000000000
376 87 1.000000000
376 136 1.000000000
377 87 1.000000000
377 136 1.000000000
378 88 1.000000000
378 137 1.000000000
379 88 1.000000000
379 137 1.000000000
380 89 1.000000000
380 138 1.000000000
381 89 1.000000000
381 138 1.000000000
382 90 1.000000000
382 139 1.000000000
383 90 1.000000000
383 139 1.000000000
384 91 1.000000000
384 140 1.000000000
385 91 1.000000000
385 140 1.000000000
386 92 1.000000000
386 141 1.000000000
387 92 1.000000000
387 141 1.000000000
388 93 1.000000000
388 142 1.000000000
389 93 1.000000000
389 142 1.000000000
390 94 1.000000000
390 143 1.000000000
391 94 1.000000000
391 143 1.000000000
392 95 1.000000000
392 144 1.000000000
393 95 1.000000000
393 144 1.000000000
394 96 1.000000000
394 145 1.000000000
395 96 1.000000000
395 145 1.000000000
396 97 1.000000000
396 146 1.000000000
397 97 1.000000000
397 146 1.000000000
398 98 1.000000000
398 147 1.000000000
399 98 1.000000000
399 147 1.000000000
402 99 1.000000000
402 148 1.000000000
403 99 1.000000000
403 148 1.000000000
404 100 1.000000000
404 149 1.000000000
405 100 1.000000000
405 149 1.000000000
406 101 1.000000000
406 150 1.000000000
407 101 1.000000000
407 150 1.000000000
408 102 1.000000000
408 151 1.000000000
409 102 1.000000000
409 151 1.000000000
410 103 1.000000000
410 152 1.000000000
411 103 1.000000000
411 152 1.000000000
412 104 1.000000000
412 153 1.000000000
413 104 1.000000000
413 153 1.000000000
414 105 1.000000000
414 154 1.000000000
415 105 1.000000000
415 154 1.000000000
416 106 1.000000000
416 155 1.000000000
417 106 1.000000000
417 155 1.000000000
418 107 1.000000000
418 156 1.000000000
419 107 1.000000000
419 156 1.000000000
420 108 1.000000000
420 157 1.000000000
421 108 1.000000000
421 157 1.000000000
422 109 1.000000000
422 158 1.000000000
423 109 1.000000000
423 158 1.000000000
424 110 1.000000000
424 159 1.000000000
425 110 1.000000000
425 159 1.000000000
426 111 1.000000000
426 160 1.000000000
427 111 1.000000000
427 160 1.000000000
428 112 1.000000000
428 161 1.000000000
429 112 1.000000000
429 161 1.000000000
430 113 1.000000000
430 162 1.000000000
431 113 1.000000000
431 162 1.000000000
432 114 1.000000000
432 163 1.000000000
433 114 1.000000000
433 163 1.000000000
434 115 1.000000000
434 164 1.000000000
435 115 1.000000000
435 164 1.000000000
436 116 1.000000000
436 165 1.000000000
437 116 1.000000000
437 165 1.000000000
438 117 1.000000000
438 166 1.000000000
439 117 1.000000000
439 166 1.000000000
440 118 1.000000000
440 167 1.000000000
441 118 1.000000000
441 167 1.000000000
442 119 1.000000000
442 168 1.000000000
443 119 1.000000000
443 168 1.000000000
444 120 1.000000000
444 169 1.000000000
445 120 1.000000000
445 169 1.000000000
446 121 1.000000000
446 170 1.000000000
447 121 1.000000000
447 170 1.000000000
448 122 1.000000000
448 171 1.000000000
449 122 1.000000000
449 171 1.000000000
450 123 1.000000000
450 172 1.000000000
451 123 1.000000000
451 172 1.000000000
452 124 1.000000000
452 173 1.000000000
453 124 1.000000000
453 173 1.000000000
454 125 1.000000000
454 174 1.000000000
455 125 1.000000000
455 174 1.000000000
456 126 1.000000000
456 175 1.000000000
457 126 1.000000000
457 175 1.000000000
458 127 1.000000000
458 176 1.000000000
459 127 1.000000000
459 176 1.000000000
460 128 1.000000000
460 177 1.000000000
461 128 1.000000000
461 177 1.000000000
462 129 1.000000000
462 178 1.000000000
463 129 1.000000000
463 178 1.000000000
464 130 1.000000000
464 179 1.000000000
465 130 1.000000000
465 179 1.000000000
466 131 1.000000000
466 180 1.000000000
467 131 1.000000000
467 180 1.000000000
468 132 1.000000000
468 181 1.000000000
469 132 1.000000000
469 181 1.000000000
470 133 1.000000000
470 182 1.000000000
471 133 1.000000000
471 182 1.000000000
472 134 1.000000000
472 183 1.000000000
473 134 1.000000000
473 183 1.000000000
474 135 1.000000000
474 184 1.000000000
475 135 1.000000000
475 184 1.000000000
476 136 1.000000000
476 185 1.000000000
477 136 1.000000000
477 185 1.000000000
478 137 1.000000000
478 186 1.000000000
479 137 1.000000000
479 186 1.000000000
480 138 1.000000000
480 187 1.000000000
481 138 1.000000000
481 187 1.000000000
482 139 1.000000000
482 188 1.000000000
483 139 1.000000000
483 188 1.000000000
484 140 1.000000000
484 189 1.000000000
485 140 1.000000000
485 189 1.000000000
486 141 1.000000000
486 190 1.000000000
487 141 1.000000000
487 190 1.000000000
488 142 1.000000000
488 191 1.000000000
489 142 1.000000000
489 191 1.000000000
490 143 1.000000000
490 192 1.000000000
491 143 1.000000000
491 192 1.000000000
492 144 1.000000000
492 193 1.000000000
493 144 1.000000000
493 193 1.000000000
494 145 1.000000000
494 194 1.000000000
495 145 1.000000000
495 194 1.000000000
496 146 1.000000000
496 195 1.000000000
497 146 1.000000000
497 195 1.000000000
498 147 1.000000000
498 196 1.000000000
499 147 1.000000000
499 196 1.000000000
502 148 1.000000000
502 197 1.000000000
503 148 1.000000000
503 197 1.000000000
504 149 1.000000000
504 198 1.000000000
505 149 1.000000000
505 198 1.000000000
506 150 1.000000000
506 199 1.000000000
507 150 1.000000000
507 199 1.000000000
508 151 1.000000000
508 200 1.000000000
509 151 1.000000000
509 200 1.000000000
510 152 1.000000000
510 201 1.000000000
511 152 1.000000000
511 201 1.000000000
512 153 1.000000000
512 202 1.000000000
513 153 1.000000000
513 202 1.000000000
514 154 1.000000000
514 203 1.000000000
515 154 1.000000000
515 203 1.000000000
516 155 1.000000000
516 204 1.000000000
517 155 1.000000000
517 204 1.000000000
518 156 1.000000000
518 205 1.000000000
519 156 1.000000000
519 205 1.000000000
520 157 1.000000000
520 206 1.000000000
521 157 1.000000000
521 206 1.000000000
522 158 1.000000000
522 207 1.000000000
523 158 1.000000000
523 207 1.000000000
524 159 1.000000000
524 208 1.000000000
525 159 1.000000000
525 208 1.000000000
526 160 1.000000000
526 209 1.000000000
527 160 1.000000000
527 209 1.000000000
528 161 1.000000000
528 210 1.000000000
529 161 1.000000000
529 210 1.000000000
530 162 1.000000000
530 211 1.000000000
531 162 1.000000000
531 211 1.000000000
532 163 1.000000000
532 212 1.000000000
533 163 1.000000000
533 212 1.000000000
534 164 1.000000000
534 213 1.000000000
535 164 1.000000000
535 213 1.000000000
536 165 1.000000000
536 214 1.000000000
537 165 1.000000000
537 214 1.000000000
538 166 1.000000000
538 215 1.000000000
539 166 1.000000000
539 215 1.000000000
540 167 1.000000000
540 216 1.000000000
541 167 1.000000000
541 216 1.000000000
542 168 1.000000000
542 217 1.000000000
543 168 1.000000000
543 217 1.000000000
544 169 1.000000000
544 218 1.000000000
545 169 1.000000000
545 218 1.000000000
546 170 1.000000000
546 219 1.000000000
547 170 1.000000000
547 219 1.000000000
548 171 1.000000000
548 220 1.000000000
549 171 1.000000000
549 220 1.000000000
550 172 1.000000000
550 221 1.000000000
551 172 1.000000000
551 221 1.000000000
552 173 1.000000000
552 222 1.000000000
553 173 1.000000000
553 222 1.000000000
554 174 1.000000000
554 223 1.000000000
555 174 1.000000000
555 223 1.000000000
556 175 1.000000000
556 224 1.000000000
557 175 1.000000000
557 224 1.000000000
558 176 1.000000000
558 225 1.000000000
559 176 1.000000000
559 225 1.000000000
560 177 1.000000000
560 226 1.000000000
561 177 1.000000000
561 226 1.000000000
562 178 1.000000000
562 227 1.000000000
563 178 1.000000000
563 227 1.000000000
564 179 1.000000000
564 228 1.000000000
565 179 1.000000000
565 228 1.000000000
566 180 1.000000000
566 229 1.000000000
567 180 1.000000000
567 229 1.000000000
568 181 1.000000000
568 230 1.000000000
569 181 1.000000000
569 230 1.000000000
570 182 1.000000000
570 231 1.000000000
571 182 1.000000000
571 231 1.000000000
572 183 1.000000000
572 232 1.000000000
573 183 1.000000000
573 232 1.000000000
574 184 1.000000000
574 233 1.000000000
575 184 1.000000000
575 233 1.000000000
576 185 1.000000000
576 234 1.000000000
577 185 1.000000000
577 234 1.000000000
578 186 1.000000000
578 235 1.000000000
579 186 1.000000000
579 235 1.000000000
580 187 1.000000000
580 236 1.000000000
581 187 1.000000000
581 236 1.000000000
582 188 1.000000000
582 237 1.000000000
583 188 1.000000000
583 237 1.000000000
584 189 1.000000000
584 238 1.000000000
585 189 1.000000000
585 238 1.000000000
586 190 1.000000000
586 239 1.000000000
587 190 1.000000000
587 239 1.000000000
588 191 1.000000000
588 240 1.000000000
589 191 1.000000000
589 240 1.000000000
590 192 1.000000000
590 241 1.000000000
591 192 1.000000000
591 241 1.000000000
592 193 1.000000000
592 242 1.000000000
593 193 1.000000000
593 242 1.000000000
594 194 1.000000000
594 243 1.000000000
595 194 1.000000000
595 243 1.000000000
596 195 1.000000000
596 244 1.000000000
597 195 1.000000000
597 244 1.000000000
598 196 1.000000000
598 245 1.000000000
599 196 1.000000000
599 245 1.000000000
602 197 1.000000000
602 246 1.000000000
603 197 1.000000000
603 246 1.000000000
604 198 1.000000000
604 247 1.000000000
605 198 1.000000000
605 247 1.000000000
606 199 1.000000000
606 248 1.000000000
607 199 1.000000000
607 248 1.000000000
608 200 1.000000000
608 249 1.000000000
609 200 1.000000000
609 249 1.000000000
610 201 1.000000000
610 250 1.000000000
611 201 1.000000000
611 250 1.000000000
612 202 1.000000000
612 251 1.000000000
613 202 1.000000000
613 251 1.000000000
614 203 1.000000000
614 252 1.000000000
615 203 1.000000000
615 252 1.000000000
616 204 1.000000000
616 253 1.000000000
617 204 1.000000000
617 253 1.000000000
618 205 1.000000000
618 254 1.000000000
619 205 1.000000000
619 254 1.000000000
620 206 1.000000000
620 255 1.000000000
621 206 1.000000000
621 255 1.000000000
622 207 1.000000000
622 256 1.000000000
623 207 1.000000000
623 256 1.000000000
624 208 1.000000000
624 257 1.000000000
625 208 1.000000000
625 257 1.000000000
626 209 1.000000000
626 258 1.000000000
627 209 1.000000000
627 258 1.000000000
628 210 1.000000000
628 259 1.000000000
629 210 1.000000000
629 259 1.000000000
630 211 1.000000000
630 260 1.000000000
631 211 1.000000000
631 260 1.000000000
632 212 1.000000000
632 261 1.000000000
633 212 1.000000000
633 261 1.000000000
634 213 1.000000000
634 262 1.000000000
635 213 1.000000000
635 262 1.000000000
636 214 1.000000000
636 263 1.000000000
637 214 1.000000000
637 263 1.000000000
638 215 1.000000000
638 264 1.000000000
639 215 1.000000000
639 264 1.000000000
640 216 1.000000000
640 265 1.000000000
641 216 1.000000000
641 265 1.000000000
642 217 1.000000000
642 266 1.000000000
643 217 1.000000000
643 266 1.000000000
644 218 1.000000000
644 267 1.000000000
645 218 1.000000000
645 267 1.000000000
646 219 1.000000000
646 268 1.000000000
647 219 1.000000000
647 268 1.000000000
648 220 1.000000000
648 269 1.000000000
649 220 1.000000000
649 269 1.000000000
650 221 1.000000000
650 270 1.000000000
651 221 1.000000000
